Rang;Région;Province;Commune;Score
218;SUD OUEST;NOUMBIEL;KPUÉRÉ;104.5999984741211
218;NORD;YATENGA;ZOGORÉ;104.5999984741211
221;NORD;ZONDOMA;BASSI;104.50000381469727
222;NORD;ZONDOMA;BOUSSOU;104.4000015258789
223;CENTRE EST;BOULGOU;GARANGO;104.29999923706055
224;EST;GNAGNA;COALLA;104.20000076293945
225;CENTRE EST;KOURITENGA;GOUNGHIN;104.10000228881836
226;NORD;PASSORE;PILIMPIKOU;104.0999984741211
226;NORD;YATENGA;THIOU;104.0999984741211
228;BOUCLE DU MOUHOUN;MOUHOUN;TCHÉRIBA;104.0
229;CENTRE OUEST;SISSILI;LEO;103.9000015258789
230;SAHEL;SOUM;TONGOMAYEL;103.89999771118164
231;CENTRE OUEST;BOULKIEMDE;SIGLE;103.70000076293945
232;SUD OUEST;PONI;LOROPENI;103.60000228881836
233;CENTRE NORD;NAMENTENGA;ZÉGUÉDÉGUIN;103.50000190734863
234;CENTRE EST;BOULGOU;BANÉ;103.4000015258789
235;HAUTS BASSINS;HOUET;KARANGASSO-SAMBLA;103.29999923706055
236;PLATEAU CENTRAL;KOURWEOGO;LAYE;103.19999694824219
237;CASCADES;LERABA;LOUMANA;103.10000038146973
238;CENTRE EST;KOULPELOGO;COMIN-YANGA;102.9000015258789
238;CENTRE;KADIOGO;KOMSILGA;102.9000015258789
240;CENTRE EST;KOURITENGA;YARGO;102.89999771118164
241;PLATEAU CENTRAL;KOURWEOGO;NIOU;102.79999923706055
242;BOUCLE DU MOUHOUN;BANWA;SOLENZO;102.69999694824219
243;NORD;PASSORE;ARBOLLÉ;102.60000228881836
244;BOUCLE DU MOUHOUN;KOSSI;SONO;102.50000381469727
245;BOUCLE DU MOUHOUN;NAYALA;GASSAN;102.4000015258789
246;EST;GOURMA;DIABO;102.20000076293945
247;BOUCLE DU MOUHOUN;MOUHOUN;DOUROULA;102.0999984741211
247;HAUTS BASSINS;TUY;KOUMBIA;102.0999984741211
247;CENTRE SUD;ZOUNDWEOGO;MANGA;102.0999984741211
247;BOUCLE DU MOUHOUN;BALE;OURY;102.0999984741211
251;CENTRE SUD;BAZEGA;SAPONÉ;102.0
252;NORD;YATENGA;KOUMBRI;101.9000015258789
253;BOUCLE DU MOUHOUN;SOUROU;DI;101.89999771118164
253;HAUTS BASSINS;HOUET;LÉNA;101.89999771118164
253;CENTRE OUEST;SISSILI;NIABOURI;101.89999771118164
256;BOUCLE DU MOUHOUN;SOUROU;GOMBORO;101.79999923706055
256;CASCADES;COMOE;MOUSSODOUGOU;101.79999923706055
256;CENTRE OUEST;BOULKIEMDE;SOURGOU;101.79999923706055
259;BOUCLE DU MOUHOUN;BALE;YAHO;101.5999984741211
260;BOUCLE DU MOUHOUN;KOSSI;DJIBASSO;101.39999961853027
261;NORD;YATENGA;OULA;101.39999771118164
262;NORD;LOROUM;OUINDIGUI;101.29999923706055
263;PLATEAU CENTRAL;OUBRITENGA;ZITENGA;101.0999984741211
264;EST;KOMPIENGA;PAMA;100.80000305175781
265;SAHEL;YAGHA;BOUNDORÉ;100.50000190734863
266;SUD OUEST;IOBA;DISSIN;100.4000015258789
267;SAHEL;OUDALAN;DEOU;100.0999984741211
267;SUD OUEST;PONI;GBOMBLORA;100.0999984741211
269;CENTRE OUEST;ZIRO;CASSOU;99.89999771118164
270;EST;GNAGNA;PIELA;99.79999923706055
271;SAHEL;YAGHA;TANKOUGOUNADIE;99.79999542236328
272;EST;TAPOA;PARTIAGA;99.0999984741211
273;CENTRE EST;BOULGOU;ZABRÉ;99.0
274;SUD OUEST;NOUMBIEL;BATIÉ;98.9000015258789
275;CENTRE OUEST;SISSILI;TO;98.89999961853027
276;CENTRE SUD;ZOUNDWEOGO;GUIBA;98.5999984741211
277;PLATEAU CENTRAL;GANZOURGOU;ZOUNGOU;98.5
278;PLATEAU CENTRAL;OUBRITENGA;DAPELOGO;98.39999961853027
279;SAHEL;SOUM;KELBO;98.30000305175781
280;EST;KOMANDJOARI;BARTIÉBOUGOU;98.20000267028809
281;SAHEL;SENO;SAMPELGA;98.0
282;PLATEAU CENTRAL;KOURWEOGO;SOURGOUBILA;97.79999923706055
283;CASCADES;LERABA;WOLONKOTO;97.70000076293945
284;SUD OUEST;NOUMBIEL;BOUSSOUKOULA;97.39999961853027
285;CENTRE SUD;BAZEGA;GAONGO;97.30000114440918
286;CENTRE SUD;NAHOURI;TIÉBÉLÉ;97.10000228881836
287;EST;GOURMA;YAMBA;97.0999984741211
288;CENTRE NORD;SANMATENGA;PIBAORÉ;97.0
288;CENTRE SUD;NAHOURI;ZIOU;97.0
290;CENTRE SUD;BAZEGA;DOULOUGOU;96.70000076293945
290;SUD OUEST;IOBA;ZAMBO;96.70000076293945
292;CENTRE NORD;BAM;NASSERE;96.69999694824219
293;HAUTS BASSINS;TUY;FOUZAN;96.5999984741211
294;HAUTS BASSINS;HOUET;FÔ;96.50000381469727
295;NORD;LOROUM;BANH;96.5
295;CENTRE NORD;SANMATENGA;KAYA;96.5
297;EST;GOURMA;DIAPANGOU;96.4000015258789
298;BOUCLE DU MOUHOUN;BANWA;SANABA;96.30000305175781
299;HAUTS BASSINS;TUY;BONI;96.29999923706055
300;HAUTS BASSINS;HOUET;BAMA;95.69999694824219
300;CENTRE OUEST;BOULKIEMDE;POA;95.69999694824219
302;BOUCLE DU MOUHOUN;NAYALA;YABA;95.5
303;BOUCLE DU MOUHOUN;BANWA;SAMI;95.29999923706055
304;HAUTS BASSINS;KENEDOUGOU;SAMOROGOUAN;94.5
305;SUD OUEST;BOUGOURIBA;NIORONIORO;94.39999771118164
306;HAUTS BASSINS;KENEDOUGOU;KOLOKO;94.29999923706055
307;CENTRE EST;KOULPELOGO;YONDÉ;94.19999694824219
308;BOUCLE DU MOUHOUN;NAYALA;GOSSINA;93.5
309;SAHEL;SOUM;ARBINDA;93.20000076293945
310;SAHEL;SOUM;DJIGUEL;92.70000267028809
311;EST;TAPOA;LOGOBOU;92.29999923706055
312;CENTRE OUEST;BOULKIEMDE;IMASGO;92.20000076293945
313;CENTRE;KADIOGO;PABRE;91.5999984741211
314;NORD;LOROUM;TITAO;91.29999923706055
315;CENTRE EST;KOULPELOGO;SOUDOUGUI;90.79999923706055
316;CENTRE OUEST;BOULKIEMDE;NANORO;90.70000076293945
317;EST;GNAGNA;BILANGA;89.79999923706055
318;EST;TAPOA;TAMBAGA;88.99999809265137
319;CENTRE OUEST;BOULKIEMDE;SOAW;88.79999923706055
320;EST;TAPOA;BOTOU;88.69999694824219
321;HAUTS BASSINS;KENEDOUGOU;KANGALA;88.39999771118164
322;CENTRE NORD;SANMATENGA;ZIGA;87.20000076293945
323;HAUTS BASSINS;HOUET;TOUSSIANA;87.19999694824219
324;HAUTS BASSINS;HOUET;PENI;86.29999923706055
324;CENTRE EST;KOULPELOGO;SANGHA;86.29999923706055
326;EST;GOURMA;TIBGA;86.10000228881836
327;EST;KOMANDJOARI;GAYERI;86.0
328;SAHEL;OUDALAN;TIN-AKOF;85.9000015258789
329;CENTRE OUEST;BOULKIEMDE;PELLA;84.79999923706055
330;BOUCLE DU MOUHOUN;SOUROU;TOÉNI;84.5
331;CENTRE SUD;ZOUNDWEOGO;NOBERE;84.20000076293945
332;BOUCLE DU MOUHOUN;BANWA;KOUKA;81.70000076293945
333;CENTRE NORD;SANMATENGA;MANÉ;81.5999984741211
334;HAUTS BASSINS;HOUET;KARANGASSO-VIGUÉ;81.20000076293945
335;SAHEL;OUDALAN;OURSI;80.89999771118164
336;BOUCLE DU MOUHOUN;KOSSI;MADOUBA;79.70000076293945
337;NORD;LOROUM;SOLLÉ;78.60000228881836
338;BOUCLE DU MOUHOUN;SOUROU;KIEMBARA;77.9000015258789
339;CENTRE OUEST;SISSILI;SILLY;76.80000305175781
340;BOUCLE DU MOUHOUN;KOSSI;BARANI;76.80000114440918
341;SAHEL;SENO;BANI;73.70000076293945
342;EST;TAPOA;TANSARGA;73.29999923706055
343;BOUCLE DU MOUHOUN;KOSSI;BOURASSO;72.29999923706055
344;NORD;ZONDOMA;GOURCY;68.5
345;CENTRE OUEST;SANGUIE;KYON;65.4000015258789
346;CENTRE OUEST;SISSILI;NÉBIÉLIANAYOU ;62.5
347;SUD OUEST;PONI;DJIGOUÉ;59.599998474121094
348;NORD;PASSORE;KIRSI;55.79999828338623
349;SAHEL;SOUM;BARABOULE;46.400001525878906
